,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
I,12,0,0,0,11,0,0,1,0,0,0,0
i,7,0,0,0,0,0,0,7,0,0,0,0
I+,0,0,0,0,0,0,0,0,0,0,0,0
io,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,0,0,0,0,0,0,0,0,0,0
ii,0,0,19,0,0,7,0,0,0,5,0,0
II+,0,0,0,0,0,0,0,0,0,0,0,0
iio,0,0,0,0,0,1,0,0,0,0,0,0
III,0,0,0,0,0,0,0,0,0,0,0,0
iii,0,0,0,0,5,0,0,0,0,0,0,1
III+,0,0,0,0,0,0,0,0,0,0,0,0
iiio,0,0,0,0,0,0,0,0,0,0,0,0
IV,0,0,0,0,0,0,0,0,0,0,0,0
iv,0,0,0,0,0,0,0,0,0,0,0,0
IV+,0,0,0,0,0,0,0,0,0,0,0,0
ivo,0,0,0,0,0,0,0,0,0,0,0,0
V,0,0,1,0,0,0,0,5,0,0,0,5
v,0,0,4,0,0,0,0,14,0,0,11,0
V+,0,0,0,0,0,0,0,0,0,0,0,0
vo,0,0,0,0,0,0,0,0,0,0,0,0
VI,0,0,0,0,0,0,0,0,0,0,0,0
vi,9,0,0,0,4,0,0,0,0,12,0,0
VI+,0,0,0,0,0,0,0,0,0,0,0,0
vio,5,0,0,0,0,0,0,0,0,0,0,0
VII,0,0,0,0,0,0,0,0,0,0,0,0
vii,0,0,0,0,0,0,0,0,0,0,0,2
VII+,0,0,0,0,0,0,0,0,0,0,0,0
viio,0,0,0,0,0,2,0,0,0,0,0,2
